config,city,task_id,req_type,req_level,p_req,strategy,regime,success,n_selected,p_commit,p_deliv,shortfall,ocr
A_corrected_base,City-A,T2,absolute,2x,520.0,S5_CityCalib,cross_regime,0.0,1,677.7365971148142,437.69868331345367,82.30131668654633,0.35417581819134986
A_corrected_base,City-A,T2,absolute,2x,520.0,S6_Q10,routine,1.0,1,666.9454500131686,670.2201591193183,0.0,0.0
A_corrected_base,City-A,T2,absolute,2x,520.0,S6_Q10,cross_regime,0.0,1,666.9454500131686,437.69868331345367,82.30131668654633,0.34372641225034006
A_corrected_base,City-A,T2,absolute,5x,1300.0,S0a_RoutineOracle,routine,1.0,3,1867.2061483887087,1867.2061483887087,0.0,0.0
A_corrected_base,City-A,T2,absolute,5x,1300.0,S0a_RoutineOracle,cross_regime,0.0,3,1867.2061483887087,1219.437917913684,80.56208208631597,0.34691843267226347
A_corrected_base,City-A,T2,absolute,5x,1300.0,S0b_StressOracle,routine,1.0,4,1595.4887636724395,2438.9727366772577,0.0,0.0
A_corrected_base,City-A,T2,absolute,5x,1300.0,S0b_StressOracle,cross_regime,1.0,4,1595.4887636724395,1595.4887636724395,0.0,0.0
A_corrected_base,City-A,T2,absolute,5x,1300.0,S1_CapRR,routine,1.0,3,1889.6612019999998,1867.2061483887087,0.0,0.011883110891796295
A_corrected_base,City-A,T2,absolute,5x,1300.0,S1_CapRR,cross_regime,0.0,3,1889.6612019999998,1219.437917913684,80.56208208631597,0.3546790733582071
A_corrected_base,City-A,T2,absolute,5x,1300.0,S2_Platform,routine,1.0,4,1596.471,2352.797944288073,0.0,0.0
A_corrected_base,City-A,T2,absolute,5x,1300.0,S2_Platform,cross_regime,1.0,4,1596.471,1539.3794557379338,0.0,0.035761090719509614
A_corrected_base,City-A,T2,absolute,5x,1300.0,S3_Lin4,routine,1.0,3,1862.0926091463352,1770.9661804819066,0.0,0.04893764585973251
A_corrected_base,City-A,T2,absolute,5x,1300.0,S3_Lin4,cross_regime,0.0,3,1862.0926091463352,1164.3587880902328,135.6412119097672,0.37470414609291325
A_corrected_base,City-A,T2,absolute,5x,1300.0,S4_GlobalCalib,routine,1.0,3,1881.1834215904514,1867.2061483887087,0.0,0.007430042728064017
A_corrected_base,City-A,T2,absolute,5x,1300.0,S4_GlobalCalib,cross_regime,0.0,3,1881.1834215904514,1219.437917913684,80.56208208631597,0.3517708566224196
A_corrected_base,City-A,T2,absolute,5x,1300.0,S5_CityCalib,routine,1.0,3,1888.4791072517364,1867.2061483887087,0.0,0.011264598470451605
A_corrected_base,City-A,T2,absolute,5x,1300.0,S5_CityCalib,cross_regime,0.0,3,1888.4791072517364,1219.437917913684,80.56208208631597,0.35427513429666363
A_corrected_base,City-A,T2,absolute,5x,1300.0,S6_Q10,routine,1.0,3,1858.3771137001029,1867.2061483887087,0.0,0.0
A_corrected_base,City-A,T2,absolute,5x,1300.0,S6_Q10,cross_regime,0.0,3,1858.3771137001029,1219.437917913684,80.56208208631597,0.3438156825523241
A_corrected_base,City-A,T2,absolute,10x,2600.0,S0a_RoutineOracle,routine,1.0,5,2997.3713830316174,2997.3713830316174,0.0,0.0
A_corrected_base,City-A,T2,absolute,10x,2600.0,S0a_RoutineOracle,cross_regime,0.0,5,2997.3713830316174,1962.3331533052506,637.6668466947494,0.3453153104703038
A_corrected_base,City-A,T2,absolute,10x,2600.0,S0b_StressOracle,routine,1.0,7,2642.090406273468,4025.3105539392104,0.0,0.0
A_corrected_base,City-A,T2,absolute,10x,2600.0,S0b_StressOracle,cross_regime,1.0,7,2642.090406273468,2642.090406273468,0.0,0.0
A_corrected_base,City-A,T2,absolute,10x,2600.0,S1_CapRR,routine,1.0,5,3037.3306979999998,2997.3713830316174,0.0,0.013156063313979777
A_corrected_base,City-A,T2,absolute,10x,2600.0,S1_CapRR,cross_regime,0.0,5,3037.3306979999998,1962.3331533052506,637.6668466947494,0.3539283836964497
A_corrected_base,City-A,T2,absolute,10x,2600.0,S2_Platform,routine,1.0,7,2630.133,3896.862606416194,0.0,0.0
A_corrected_base,City-A,T2,absolute,10x,2600.0,S2_Platform,cross_regime,0.0,7,2630.133,2549.014117459499,50.985882540500825,0.030842121877677153
A_corrected_base,City-A,T2,absolute,10x,2600.0,S3_Lin4,routine,1.0,5,2929.0289298448647,2951.104747360223,0.0,0.0
A_corrected_base,City-A,T2,absolute,10x,2600.0,S3_Lin4,cross_regime,0.0,5,2929.0289298448647,1937.5227211805525,662.4772788194475,0.33851021359383676
A_corrected_base,City-A,T2,absolute,10x,2600.0,S4_GlobalCalib,routine,1.0,5,3023.7674818978644,2997.3713830316174,0.0,0.008729539894939126
A_corrected_base,City-A,T2,absolute,10x,2600.0,S4_GlobalCalib,cross_regime,0.0,5,3023.7674818978644,1962.3331533052506,637.6668466947494,0.3510304065861591
A_corrected_base,City-A,T2,absolute,10x,2600.0,S5_CityCalib,routine,1.0,5,3035.4586112724633,2997.3713830316174,0.0,0.01254743784000393
A_corrected_base,City-A,T2,absolute,10x,2600.0,S5_CityCalib,cross_regime,0.0,5,3035.4586112724633,1962.3331533052506,637.6668466947494,0.3535299259169799
A_corrected_base,City-A,T2,absolute,10x,2600.0,S6_Q10,routine,1.0,5,2987.046487448579,2997.3713830316174,0.0,0.0
A_corrected_base,City-A,T2,absolute,10x,2600.0,S6_Q10,cross_regime,0.0,5,2987.046487448579,1962.3331533052506,637.6668466947494,0.3430523557129502
A_corrected_base,City-A,T3,absolute,1x,200.0,S0a_RoutineOracle,routine,1.0,1,599.8799002124084,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S0a_RoutineOracle,cross_regime,1.0,1,599.8799002124084,392.3379390186556,0.0,0.34597252070000234
A_corrected_base,City-A,T3,absolute,1x,200.0,S0b_StressOracle,routine,1.0,1,392.3379390186556,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S0b_StressOracle,cross_regime,1.0,1,392.3379390186556,392.3379390186556,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S1_CapRR,routine,1.0,1,596.7921256000001,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S1_CapRR,cross_regime,1.0,1,596.7921256000001,392.3379390186556,0.0,0.3425886130380679
