city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T2,5x,1300.0,S4_GlobalCalib,routine,M_routine,800,True,5,1441.9,1274.9,25.1,0.1159,0.0
City-A,T2,5x,1300.0,S4_GlobalCalib,cross_regime,M_stress,800,True,5,1441.9,881.4,418.6,0.3887,0.0
City-A,T2,5x,1300.0,S5_CityCalib,routine,M_routine,800,True,5,1342.4,1274.9,25.1,0.0503,0.0
City-A,T2,5x,1300.0,S5_CityCalib,cross_regime,M_stress,800,True,5,1342.4,881.4,418.6,0.3434,0.0
City-A,T2,5x,1300.0,S6_Q10,routine,M_routine,800,True,12,1364.5,2946.1,0.0,0.0,1.0
City-A,T2,5x,1300.0,S6_Q10,cross_regime,M_stress,800,True,12,1364.5,2106.4,0.0,0.0,1.0
City-A,T2,10x,2600.0,S0a_RoutineOracle,routine,M_routine,800,True,10,2748.1,2748.1,0.0,0.0,1.0
City-A,T2,10x,2600.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,10,2748.1,2041.2,558.8,0.2572,0.0
City-A,T2,10x,2600.0,S0b_StressOracle,routine,M_routine,800,True,14,2779.5,3722.5,0.0,0.0,1.0
City-A,T2,10x,2600.0,S0b_StressOracle,cross_regime,M_stress,800,True,14,2779.5,2779.5,0.0,0.0,1.0
City-A,T2,10x,2600.0,S1_CapRR,routine,M_routine,800,True,5,3037.3,1231.6,1368.4,0.5945,0.0
City-A,T2,10x,2600.0,S1_CapRR,cross_regime,M_stress,800,True,5,3037.3,863.7,1736.3,0.7157,0.0
City-A,T2,10x,2600.0,S2_Platform,routine,M_routine,800,True,7,2630.1,1770.1,829.9,0.327,0.0
City-A,T2,10x,2600.0,S2_Platform,cross_regime,M_stress,800,True,7,2630.1,1242.1,1357.9,0.5277,0.0
City-A,T2,10x,2600.0,S3_Lin4,routine,M_routine,800,True,11,2618.2,2533.2,66.8,0.0325,0.0
City-A,T2,10x,2600.0,S3_Lin4,cross_regime,M_stress,800,True,11,2618.2,1781.8,818.2,0.3195,0.0
City-A,T2,10x,2600.0,S4_GlobalCalib,routine,M_routine,800,True,10,2670.3,2453.2,146.8,0.0813,0.0
City-A,T2,10x,2600.0,S4_GlobalCalib,cross_regime,M_stress,800,True,10,2670.3,1735.3,864.7,0.3502,0.0
City-A,T2,10x,2600.0,S5_CityCalib,routine,M_routine,800,True,11,2712.7,2698.2,0.0,0.0053,1.0
City-A,T2,10x,2600.0,S5_CityCalib,cross_regime,M_stress,800,True,11,2712.7,1921.4,678.6,0.2917,0.0
City-A,T2,10x,2600.0,S6_Q10,routine,M_routine,800,True,26,2687.1,5616.3,0.0,0.0,1.0
City-A,T2,10x,2600.0,S6_Q10,cross_regime,M_stress,800,True,26,2687.1,3967.0,0.0,0.0,1.0
City-A,T3,1x,200.0,S0a_RoutineOracle,routine,M_routine,800,True,1,325.1,325.1,0.0,0.0,1.0
City-A,T3,1x,200.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,325.1,256.1,0.0,0.2122,1.0
