stress_config,s_new,K_active,severity,scope,city,task_id,p_req_level,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,seed_id
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T3,5x,S4_GlobalCalib,0.0,3,1105.1118810247176,904.5531969246354,95.44680307536464,0.1814826964977643,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T3,5x,S6_Q10,1.0,5,1209.8271122800327,1313.4725903672638,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T4,5x,S0a_RoutineOracle,0.0,2,923.8568698454987,584.9704187744292,115.02958122557084,0.36681704940695337,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T4,5x,S0b_StressOracle_new,1.0,2,707.8316384732652,707.8316384732652,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T4,5x,S1_CapRR,0.0,2,1293.3561519999998,633.1466057579886,66.8533942420114,0.5104622924018931,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T4,5x,S4_GlobalCalib,0.0,2,863.2598525084748,633.1466057579886,66.8533942420114,0.2665631282189474,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T4,5x,S6_Q10,1.0,3,865.2263806001793,980.2090449261236,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T5,5x,S0a_RoutineOracle,0.0,2,890.759856377392,441.61686989969724,358.38313010030276,0.5042245485829397,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T5,5x,S0b_StressOracle_new,1.0,3,806.0484177860085,806.0484177860085,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T5,5x,S1_CapRR,0.0,2,1138.1160166,386.1068144827057,413.8931855172943,0.6607491601461172,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T5,5x,S4_GlobalCalib,0.0,3,1101.7239286783915,582.4770574143279,217.52294258567213,0.47130397892595743,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T5,5x,S6_Q10,1.0,4,990.311194445918,879.0736441030994,0.0,0.11232585369799476,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T1,5x,S0a_RoutineOracle,1.0,2,1270.2081170687043,977.1765197943472,0.0,0.23069573665659962,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T1,5x,S0b_StressOracle_new,1.0,2,977.1765197943472,977.1765197943472,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T1,5x,S1_CapRR,1.0,2,1687.96367,977.1765197943472,0.0,0.42109149790270833,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T1,5x,S4_GlobalCalib,1.0,2,1119.8099170308778,977.1765197943472,0.0,0.1273728648650623,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T1,5x,S6_Q10,1.0,3,1138.443775401883,1306.7005427789466,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T2,5x,S0a_RoutineOracle,0.0,3,1644.2175549321732,1169.1230404653454,130.8769595346546,0.2889486935847892,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T2,5x,S0b_StressOracle_new,1.0,4,1557.0585582657363,1557.0585582657363,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T2,5x,S1_CapRR,0.0,2,1687.96367,771.6067875447247,528.3932124552753,0.5428771357711006,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T2,5x,S4_GlobalCalib,0.0,3,1674.5145189137904,1169.1230404653456,130.87695953465436,0.3018137333179277,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T2,5x,S6_Q10,1.0,4,1512.4695853044211,1408.5882877942531,0.0,0.06868323073700644,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T3,5x,S0a_RoutineOracle,0.0,2,1110.7145044715753,467.762336801219,532.237663198781,0.5788635739264448,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T3,5x,S0b_StressOracle_new,1.0,3,1202.602837319784,1202.602837319784,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T3,5x,S1_CapRR,0.0,2,1485.4080295999997,764.9153126694382,235.0846873305618,0.48504700565310693,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T3,5x,S4_GlobalCalib,1.0,3,1465.0546692675325,1115.0592642017216,0.0,0.23889579850340625,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T3,5x,S6_Q10,1.0,4,1315.7707500622837,1494.480419165915,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T4,5x,S0a_RoutineOracle,0.0,1,778.9451229654401,466.31112980785576,233.68887019214424,0.4013556076548606,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T4,5x,S0b_StressOracle_new,1.0,2,926.4191314749044,926.4191314749044,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T4,5x,S1_CapRR,0.0,1,846.0108700000001,329.69873599399386,370.30126400600614,0.6102901893045489,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T4,5x,S4_GlobalCalib,1.0,2,1126.869508903886,796.0098658018496,0.0,0.29360954439513226,0
