seed_id,city,task_id,strategy,req_level,k,topk_overlap,capacity_regret,cap_strat,cap_oracle
1,City-C,T2,S4_GlobalCalib,2x,2,0.5,0.1595762510496076,767.0523844092138,912.6971784973803
1,City-C,T2,S4_GlobalCalib,5x,3,0.3333333333333333,0.1363735108241111,1148.0233516529727,1329.30539537812
1,City-C,T2,S4_GlobalCalib,10x,7,0.42857142857142855,0.12407928461296724,2480.6561020348154,2832.055525640488
1,City-C,T3,S1_CapRR,1x,1,0.0,0.003103904166523619,498.82127214653815,500.37438628896217
1,City-C,T3,S1_CapRR,2x,1,0.0,0.003103904166523619,498.82127214653815,500.37438628896217
1,City-C,T3,S1_CapRR,5x,2,1.0,0.0,999.1956584355003,999.1956584355003
1,City-C,T3,S1_CapRR,10x,4,0.5,0.14054732025495809,1590.325008512389,1850.3927510984802
1,City-C,T3,S4_GlobalCalib,1x,1,0.0,0.003103904166523619,498.82127214653815,500.37438628896217
1,City-C,T3,S4_GlobalCalib,2x,1,0.0,0.003103904166523619,498.82127214653815,500.37438628896217
1,City-C,T3,S4_GlobalCalib,5x,3,0.6666666666666666,0.04833408309627818,1364.8058937482815,1434.122909632747
1,City-C,T3,S4_GlobalCalib,10x,6,0.5,0.11030982627945118,2346.708207753767,2637.6690190251184
1,City-C,T4,S1_CapRR,1x,1,0.0,0.3466682357183105,316.70148188518954,484.74833032707255
1,City-C,T4,S1_CapRR,2x,1,0.0,0.3466682357183105,316.70148188518954,484.74833032707255
1,City-C,T4,S1_CapRR,5x,1,0.0,0.3466682357183105,316.70148188518954,484.74833032707255
1,City-C,T4,S1_CapRR,10x,2,0.0,0.3717094667358607,602.2214228283015,958.5078732598408
1,City-C,T4,S4_GlobalCalib,1x,1,0.0,0.3466682357183105,316.70148188518954,484.74833032707255
1,City-C,T4,S4_GlobalCalib,2x,1,0.0,0.3466682357183105,316.70148188518954,484.74833032707255
1,City-C,T4,S4_GlobalCalib,5x,2,0.0,0.3717094667358607,602.2214228283015,958.5078732598408
1,City-C,T4,S4_GlobalCalib,10x,4,0.0,0.2296773117277232,1391.7019721534648,1806.6480363895973
1,City-C,T5,S1_CapRR,1x,1,1.0,0.0,453.9683596320425,453.9683596320425
1,City-C,T5,S1_CapRR,2x,1,1.0,0.0,453.9683596320425,453.9683596320425
