seed_id,city,task_id,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,unused_deliv,pool_fraction
4,City-C,T2,S7_Isotonic,1.0,3,1514.1815476214447,1519.3894907377055,0.0,0.0,219.3894907377055,0.004615384615384616
4,City-C,T2,S8_ConformalLCB,1.0,4,1603.173977527231,1949.7760753469715,0.0,0.0,649.7760753469715,0.006153846153846154
4,City-C,T2,Q05,1.0,5,1320.8341684552834,2417.243170145657,0.0,0.0,1117.2431701456571,0.007692307692307693
4,City-C,T2,Q10,1.0,5,1512.5670572440226,2417.243170145657,0.0,0.0,1117.2431701456571,0.007692307692307693
4,City-C,T2,Q20,1.0,4,1436.112667406679,1949.7760753469715,0.0,0.0,649.7760753469715,0.006153846153846154
4,City-C,T2,Q30,1.0,4,1578.2312022702743,1949.7760753469715,0.0,0.0,649.7760753469715,0.006153846153846154
4,City-C,T3,S1_CapRR,0.0,2,1266.8365755,670.4885196659717,329.5114803340283,0.470737952603444,0.0,0.003076923076923077
4,City-C,T3,S4_GlobalCalib,0.0,3,1232.9285694300395,987.530559211493,12.469440788506972,0.1990366808776193,0.0,0.004615384615384616
4,City-C,T3,S7_Isotonic,0.0,3,1275.5310459034329,987.530559211493,12.469440788506972,0.22578869218189426,0.0,0.004615384615384616
4,City-C,T3,S8_ConformalLCB,0.0,3,1072.337190799318,987.530559211493,12.469440788506972,0.07908578786175484,0.0,0.004615384615384616
4,City-C,T3,Q05,1.0,5,1152.929933539186,1742.0650439785802,0.0,0.0,742.0650439785802,0.007692307692307693
4,City-C,T3,Q10,1.0,4,1090.7872289844356,1433.1557156727854,0.0,0.0,433.1557156727854,0.006153846153846154
4,City-C,T3,Q20,1.0,4,1257.6370858644636,1433.1557156727854,0.0,0.0,433.1557156727854,0.006153846153846154
4,City-C,T3,Q30,0.0,3,1080.79539048309,987.530559211493,12.469440788506972,0.08629277298259917,0.0,0.004615384615384616
4,City-C,T4,S1_CapRR,0.0,1,737.04618,633.6998203418543,66.30017965814568,0.14021693953850453,0.0,0.0015384615384615385
4,City-C,T4,S4_GlobalCalib,1.0,2,975.0805434902584,1304.7772450386929,0.0,0.0,604.7772450386929,0.003076923076923077
4,City-C,T4,S7_Isotonic,1.0,2,1023.6332846719378,1304.7772450386929,0.0,0.0,604.7772450386929,0.003076923076923077
4,City-C,T4,S8_ConformalLCB,1.0,2,874.0955616152764,1304.7772450386929,0.0,0.0,604.7772450386929,0.003076923076923077
4,City-C,T4,Q05,1.0,3,842.0731357168274,1671.1177412577313,0.0,0.0,971.1177412577313,0.004615384615384616
4,City-C,T4,Q10,1.0,3,966.664501571803,1671.1177412577313,0.0,0.0,971.1177412577313,0.004615384615384616
4,City-C,T4,Q20,1.0,2,772.9110590833562,1304.7772450386929,0.0,0.0,604.7772450386929,0.003076923076923077
4,City-C,T4,Q30,1.0,2,852.5600758716566,1304.7772450386929,0.0,0.0,604.7772450386929,0.003076923076923077
4,City-C,T5,S1_CapRR,0.0,2,1266.8365755,795.9730288611446,4.0269711388554015,0.3716845217016355,0.0,0.003076923076923077
4,City-C,T5,S4_GlobalCalib,0.0,2,852.6659107999872,795.9730288611446,4.0269711388554015,0.06648897442804091,0.0,0.003076923076923077
4,City-C,T5,S7_Isotonic,0.0,2,892.2741629018847,795.9730288611446,4.0269711388554015,0.10792774019988007,0.0,0.003076923076923077
4,City-C,T5,S8_ConformalLCB,1.0,3,1074.5009511873336,1188.868436365752,0.0,0.0,388.8684363657519,0.004615384615384616
4,City-C,T5,Q05,1.0,4,947.2131260726177,1462.614831555104,0.0,0.0,662.614831555104,0.006153846153846154
4,City-C,T5,Q10,1.0,3,844.6936785576246,1188.868436365752,0.0,0.0,388.8684363657519,0.004615384615384616
4,City-C,T5,Q20,1.0,3,979.0833284428576,1188.868436365752,0.0,0.0,388.8684363657519,0.004615384615384616
4,City-C,T5,Q30,1.0,3,1078.808299091879,1188.868436365752,0.0,0.0,388.8684363657519,0.004615384615384616
5,City-A,T1,S1_CapRR,0.0,2,1293.3561519999998,681.3060387977134,218.69396120228657,0.4732262743373772,0.0,0.0025
5,City-A,T1,S4_GlobalCalib,1.0,3,1271.057584782925,1116.80672780892,0.0,0.1213563089671885,216.80672780891996,0.00375
5,City-A,T1,S7_Isotonic,1.0,3,1275.6441312394522,1116.80672780892,0.0,0.12451545030525192,216.80672780891996,0.00375
5,City-A,T1,S8_ConformalLCB,1.0,3,1118.8470904588742,1116.80672780892,0.0,0.001823629580264974,216.80672780891996,0.00375
5,City-A,T1,Q05,1.0,4,980.5678255757958,1549.5744373669568,0.0,0.0,649.5744373669568,0.005
5,City-A,T1,Q10,1.0,4,1139.1397023492405,1549.5744373669568,0.0,0.0,649.5744373669568,0.005
5,City-A,T1,Q20,1.0,3,1019.588540614319,1116.80672780892,0.0,0.0,216.80672780891996,0.00375
5,City-A,T1,Q30,1.0,3,1122.5411539341853,1116.80672780892,0.0,0.005108432866953564,216.80672780891996,0.00375
